participant,rt,accuracy,congruency_num,spacing_num
8521,0.4053,1,0,1
1507,0.4334,1,1,1
1583,0.4405,1,0,1
6529,0.335,1,0,1
808,0.4656,1,1,1
1614,0.392,1,0,1
5281,0.488,1,1,1
1108,0.4825,1,1,1
1821,0.342900001,1,1,1
6214,0.3857,1,0,1
3988,0.3343,0,1,1
1657,0.5676,1,0,1
7939,0.364,1,1,1
5803,0.322,0,1,1
1538,0.4504,1,1,1
7624,0.424,1,0,1
808,0.3705,1,0,1
1657,0.3829,1,1,1
8785,0.6204,1,1,1
3910,0.4084,1,1,1
4264,0.6549,1,1,1
5803,0.434,0,1,1
7840,0.554,1,1,1
7840,0.39,1,0,1
5332,0.551,1,0,1
985,0.438,1,1,1
8788,0.4345,1,0,1
8446,0.3879,1,1,1
6427,0.397,1,0,1
3487,0.4358,1,1,1
3487,0.4079,1,0,1
3910,0.4735,1,0,1
7813,0.408,1,1,1
4222,0.424,1,0,1
1824,0.3944,1,0,1
3286,0.343,1,1,1
1583,0.4687,1,1,1
985,0.467,1,1,1
6529,0.408,1,0,1
6262,0.3836,1,1,1
7840,0.607,1,0,1
7840,0.467,1,0,1
6055,0.454,1,1,1
1583,0.5529000000000001,1,1,1
6253,0.388,1,1,1
8311,0.369,1,0,1
8785,0.378,1,1,1
8308,0.548,1,0,1
6565,0.5135,0,0,1
985,0.346,1,0,1
7840,0.74,1,0,1
3910,0.3385,1,0,1
5575,0.4491,1,0,1
5575,0.3845,1,0,1
7828,0.4006,1,0,1
5803,0.569,1,0,1
161753,0.417,1,0,1
7807,0.3099,1,0,1
1582,0.5527,1,1,1
5332,0.424,1,1,1
7924,0.6037,1,0,1
3286,0.335,1,0,1
1108,0.5462,1,1,1
845,0.364,1,0,1
985,0.403,1,0,1
833,0.3785,1,0,1
8311,0.484,1,1,1
5281,0.454,1,0,1
8788,0.4846,1,1,1
8308,0.532,1,1,1
6055,0.539,1,1,1
6634,0.4326,1,0,1
161753,0.451,1,1,1
1663,0.378,1,1,1
1797,0.518,1,1,1
337788,0.37,1,0,1
7756,0.3785,1,1,1
810,0.4367,1,0,1
1583,0.4570999999999999,1,0,1
1597,0.441,1,0,1
1768,0.416,1,0,1
5281,0.347,1,0,1
5575,0.4776,1,1,1
7828,0.3988,1,0,1
1614,0.358,1,1,1
1761,0.4012,1,1,1
1761,0.538,1,1,1
1663,0.48,1,0,1
5815,0.3895,1,0,1
7813,0.525,1,1,1
833,0.4148,0,0,1
6361,0.419,1,0,1
6055,0.463,1,0,1
7624,0.514,1,1,1
275,0.521,1,0,1
161753,0.419,1,0,1
275,0.531,1,0,1
3292,0.4577,1,0,1
8446,0.3212,1,0,1
7624,0.323,0,1,1
6214,0.3741,0,0,1
845,0.454,1,1,1
3487,0.3554,1,1,1
1507,0.6167,1,1,1
7813,0.375,1,1,1
808,0.3821,1,0,1
6253,0.362,1,0,1
3625,0.6243,1,1,1
6361,0.489,0,1,1
7939,0.42,1,0,1
8308,0.813,1,0,1
1821,0.3895,1,0,1
7624,0.416,1,1,1
5761,0.3943,1,0,1
810,0.4067,0,1,1
7840,0.464,1,0,1
3292,0.3565,0,0,1
985,0.369,1,0,1
1797,0.45,1,0,1
5575,0.4404,1,1,1
1582,0.6337,1,0,1
1597,0.724,1,0,1
1657,0.3843,1,0,1
