participant,rt,accuracy,congruency_num,spacing_num
808,0.7336,1,1,1
808,0.3641,1,1,1
808,0.4946,1,1,1
808,0.4411,1,0,1
808,0.5864,1,1,1
808,0.4534,1,1,1
808,0.6079,1,1,1
808,0.5073,1,0,1
808,0.6741,1,1,1
808,0.5405,1,1,1
808,0.5122,1,0,1
808,0.5193,1,1,1
808,0.4844,1,0,1
808,0.3996,1,0,1
808,0.3911,1,1,1
808,0.3871,1,1,1
808,0.5034,1,1,1
808,0.5695,1,0,1
808,0.4314,1,0,1
808,0.573,1,1,1
808,0.761,1,0,1
808,0.5328,1,0,1
808,0.4461,1,1,1
808,0.4019,1,0,1
808,0.4397,1,1,1
808,0.3747,1,1,1
808,0.5209,1,0,1
808,0.4426,1,0,1
808,0.5078,1,0,1
808,0.4619,1,1,1
808,0.5257,1,0,1
808,0.4559,1,0,1
808,0.5159,1,1,1
808,0.3651,1,1,1
808,0.4481,1,0,1
808,0.5922,1,0,1
808,0.5217,1,1,1
808,0.8147,1,0,1
808,0.4986,1,0,1
808,0.43120000000000003,1,0,1
808,0.3659,1,0,1
808,0.4812,1,1,1
808,0.5766,1,0,1
808,0.4048,1,1,1
808,0.5317,1,1,1
808,0.6322,1,1,1
808,0.4077,1,0,1
808,0.5841,1,0,1
808,0.3863,1,0,1
808,0.3681,1,0,1
808,0.548,1,1,1
808,0.6037,1,1,1
808,0.457,1,1,1
808,0.4762,1,0,1
808,0.4975,1,0,1
808,0.5084,1,0,1
808,0.4381,1,0,1
808,0.5754,1,1,1
808,0.487,1,1,1
808,0.5138,1,1,1
808,0.4197,1,0,1
808,0.4378,1,0,1
808,0.5137,1,0,1
808,0.4367,1,0,1
808,0.5013,1,0,1
808,0.4742,1,1,1
808,0.4415,1,1,1
808,0.5947,1,1,1
808,0.6236,1,0,1
808,0.6032,1,1,1
808,0.3749,1,1,1
808,0.3426,1,0,1
808,0.4502,1,0,1
808,0.4975,1,0,1
808,0.4573,1,1,1
808,0.4209,1,0,1
808,0.3985,1,1,1
808,0.4902,1,0,1
808,0.5099,1,0,1
808,0.4471,1,0,1
808,0.4375,1,1,1
808,0.4085,1,1,1
808,0.7977,1,0,1
808,0.4545,1,1,1
808,0.4913,1,1,1
808,0.548,1,1,1
808,0.465,1,0,1
833,0.4477,1,0,1
833,0.4467,1,0,1
833,0.49360000000000004,0,0,1
833,0.5602,1,1,1
833,0.4835,1,0,1
833,0.7289,1,1,1
833,0.46909999999999996,1,0,1
833,0.5492,1,1,1
833,0.4431,1,0,1
833,0.4107,0,1,1
833,0.4305,1,0,1
833,0.5351,1,1,1
833,0.4841,1,1,1
833,0.3436,1,0,1
833,0.4608,1,0,1
833,0.48640000000000005,1,0,1
833,0.4608,1,0,1
833,0.4987,1,0,1
833,0.4153,1,0,1
833,0.4747,1,1,1
833,0.5707,1,1,1
833,0.46740000000000004,1,0,1
833,0.3829,1,0,1
833,0.4345,1,1,1
833,0.4898,1,0,1
833,0.7612,1,0,1
833,0.43500000000000005,1,0,1
833,0.39180000000000004,1,0,1
833,0.6061,1,1,1
833,0.4336,1,1,1
833,0.4334,1,0,1
833,0.42969999999999997,1,0,1
833,0.5326,1,0,1
833,0.4829,1,1,1
833,0.3785,1,0,1
833,0.4745,1,1,1
833,0.41769999999999996,1,0,1
833,0.3948,1,0,1
833,0.7595,0,0,1
833,0.4741,1,0,1
833,0.4059,1,0,1
833,0.44300000000000006,1,1,1
833,0.4728,1,1,1
833,0.4097,1,0,1
833,0.44910000000000005,1,1,1
833,0.411,1,1,1
833,0.4865,1,1,1
833,0.3728,1,0,1
833,0.4494,1,0,1
833,0.4174,1,0,1
833,0.5101,1,1,1
833,0.4569,1,0,1
833,0.348,1,1,1
833,0.5934,0,1,1
833,0.4729,1,0,1
833,0.40259999999999996,1,1,1
833,0.4136,1,0,1
833,0.3585,1,1,1
833,0.4124,1,0,1
833,0.4721,1,0,1
833,0.5156,1,1,1
833,0.5096,1,1,1
833,0.5057,1,1,1
833,0.5273,1,0,1
833,0.395,0,0,1
833,0.4002,1,0,1
833,0.5602,1,1,1
833,0.4003,1,0,1
833,0.5062,1,1,1
833,0.5006,1,1,1
833,0.3927,1,0,1
833,0.4779,1,1,1
833,0.474,1,0,1
833,0.4341,1,1,1
833,0.379,1,0,1
833,0.4698,1,0,1
833,0.41480000000000006,1,1,1
833,0.6309,1,0,1
833,0.4329,1,1,1
833,0.4163,1,1,1
833,0.5067,1,1,1
833,0.44010000000000005,1,0,1
833,0.44520000000000004,1,0,1
833,0.44020000000000004,1,0,1
833,0.3871,1,0,1
833,0.4349,1,1,1
833,0.4623,1,0,1
833,0.5013,1,1,1
833,0.4262,1,1,1
833,0.4817,1,0,1
833,0.432,1,0,1
833,0.4215,1,0,1
833,0.4241,1,0,1
833,0.4945,1,0,1
833,0.4165,0,1,1
833,0.4347,1,1,1
833,0.5273,1,1,1
833,0.43889999999999996,1,0,1
833,0.4416,1,1,1
833,0.3824,1,0,1
833,0.4596,1,0,1
833,0.4504,1,1,1
833,0.4533,0,1,1
833,0.49019999999999997,1,0,1
833,0.5106,1,0,1
833,0.41480000000000006,1,1,1
833,0.3771,1,0,1
833,0.5245,1,1,1
833,0.40290000000000004,1,0,1
833,0.5354,1,1,1
833,0.4097,1,0,1
833,0.4445,1,0,1
833,0.4668,1,0,1
833,0.4133,1,0,1
833,0.4032,1,0,1
833,0.5328,1,1,1
833,0.43310000000000004,1,1,1
833,0.5342,1,1,1
833,0.6788,1,0,1
833,0.5893,1,1,1
833,0.3216,0,1,1
833,0.5173,1,0,1
833,0.5558,1,0,1
833,0.411,1,0,1
833,0.44730000000000003,1,1,1
833,0.6061,1,1,1
833,0.4153,1,0,1
833,0.44730000000000003,1,0,1
833,0.4576,1,1,1
833,0.4313,1,1,1
833,0.559,1,0,1
833,0.5378000000000001,1,0,1
833,0.5117,0,1,1
833,0.4328,1,0,1
833,0.4664,1,0,1
833,0.4269,1,0,1
833,0.4046,1,0,1
833,0.5051,1,0,1
833,0.4356,1,0,1
833,0.482,1,1,1
833,0.33940000000000003,1,0,1
833,0.4,1,1,1
833,0.4746,1,0,1
833,0.35540000000000005,1,0,1
833,0.4903,1,0,1
833,0.3405,1,1,1
833,0.48160000000000003,1,1,1
833,0.6102,1,1,1
833,0.502,1,0,1
833,0.5023,1,1,1
833,0.4085,1,0,1
833,0.39060000000000006,1,0,1
833,0.3397,1,0,1
833,0.4676,1,0,1
833,0.5482,1,1,1
833,0.5673,1,0,1
833,0.4615,1,0,1
833,0.4135,1,1,1
833,0.3748,1,1,1
833,0.3669,1,0,1
833,0.3648,1,0,1
833,0.4325,1,1,1
833,0.4215,1,0,1
833,0.5295,1,1,1
833,0.43679999999999997,1,0,1
833,0.4221,1,0,1
833,0.3782,1,0,1
833,0.4384,1,1,1
833,0.5021,1,1,1
833,0.3999,1,0,1
833,0.45699999999999996,1,0,1
833,0.273,0,1,1
833,0.4232,1,1,1
833,0.4027,0,0,1
833,0.4446,1,1,1
833,0.45089999999999997,1,0,1
833,0.4454,1,1,1
833,0.4515,1,1,1
833,0.38260000000000005,1,1,1
833,0.5195,1,1,1
833,0.4287,1,0,1
833,0.4234,1,0,1
833,0.3982,1,0,1
833,0.5783,1,1,1
833,0.37570000000000003,0,1,1
833,0.4659,1,1,1
833,0.3976,1,1,1
833,0.3702,0,1,1
833,0.374,1,0,1
833,0.435,1,1,1
833,0.40290000000000004,1,1,1
833,0.3377,1,1,1
833,0.4712,1,0,1
833,0.4778,1,0,1
833,0.4292,1,0,1
833,0.6212,1,1,1
833,0.4383,1,1,1
833,0.5363,1,0,1
833,0.44599999999999995,1,0,1
833,0.4261,1,0,1
833,0.4233,1,1,1
833,0.4468,1,0,1
833,0.47850000000000004,1,0,1
833,0.3812,1,0,1
833,0.5861,1,1,1
833,0.406,1,1,1
833,0.35860000000000003,1,0,1
833,0.43410000000000004,1,0,1
833,0.4575,1,1,1
833,0.4346,1,0,1
833,0.5872,1,0,1
833,0.6208,1,0,1
833,0.4951,1,0,1
833,0.589,1,1,1
833,0.5263,1,0,1
833,0.5419,1,1,1
833,0.522,1,1,1
833,0.5271,1,1,1
833,0.42790000000000006,1,0,1
833,0.5658,1,0,1
833,0.46420000000000006,1,1,1
833,0.4288,1,1,1
833,0.4655,1,1,1
833,0.4656,1,1,1
833,0.4678,1,1,1
833,0.5531,1,1,1
833,0.4617,1,0,1
833,0.4244,1,0,1
833,0.42869999999999997,1,1,1
833,0.4101,0,1,1
833,0.4259,1,0,1
833,0.703,1,1,1
833,0.4659,1,0,1
833,0.4033,1,0,1
833,0.44410000000000005,1,0,1
833,0.3564,1,1,1
833,0.4975,1,1,1
833,0.3365,1,0,1
833,0.4623,1,0,1
833,0.4597,1,0,1
833,0.3992,1,1,1
833,0.5042,1,0,1
833,0.4107,1,1,1
833,0.5105,0,1,1
833,0.47430000000000005,1,0,1
833,0.4612,1,1,1
833,0.43589999999999995,1,1,1
833,0.6375,1,0,1
833,0.4559,1,1,1
833,0.3994,0,0,1
833,0.6263,1,0,1
833,0.4656,1,1,1
833,0.5267,0,1,1
833,0.6089,1,0,1
833,0.42179999999999995,1,1,1
833,0.4817,1,0,1
833,0.40190000000000003,1,0,1
833,0.40800000000000003,1,1,1
833,0.4357,1,0,1
833,0.44420000000000004,1,1,1
833,0.4178,1,0,1
833,0.6913,1,1,1
833,0.3469,1,0,1
833,0.4851,1,0,1
833,0.47250000000000003,1,1,1
833,0.6865,1,1,1
833,0.49760000000000004,1,0,1
833,0.44920000000000004,1,1,1
833,0.4347,1,0,1
833,0.49839999999999995,0,0,1
833,0.48629999999999995,1,1,1
833,0.5728,1,1,1
833,0.5274,1,0,1
833,0.5151,1,1,1
833,0.38980000000000004,1,1,1
833,0.46830000000000005,1,1,1
833,0.3806,1,0,1
833,0.4387,1,1,1
833,0.4269,1,1,1
833,0.3921,1,0,1
833,0.5382,1,1,1
833,0.5723,1,0,1
833,0.40049999999999997,1,1,1
833,0.4204,1,0,1
833,0.48829999999999996,1,0,1
833,0.4148,0,0,1
833,0.5663,1,0,1
833,0.5038,1,1,1
833,0.5447,1,1,1
833,0.4656,1,1,1
833,0.4952,1,0,1
833,0.4645,1,1,1
833,0.4753,1,1,1
