,participant,rt,accuracy,congruency_num,spacing_num
245,1108,0.3746,1,1,0
246,1108,0.3871,1,1,0
247,1108,0.4265,1,0,0
248,1108,0.3803,1,0,0
249,1108,0.3703,1,0,0
250,1108,0.4306,1,1,0
251,1108,0.5367,1,1,0
252,1108,0.4078,1,1,0
253,1108,0.3899,1,0,0
254,1108,0.3764,1,0,0
255,1108,0.3998,1,0,0
256,1108,0.3501,1,0,0
257,1108,0.3408,1,0,0
258,1108,0.4938,1,1,0
259,1108,0.4367,1,0,0
260,1108,0.3788,1,1,0
261,1108,0.5163,1,0,0
262,1108,0.3869,1,0,0
263,1108,0.4154,1,1,0
264,1108,0.4266,1,1,0
265,1108,0.4117,1,0,0
266,1108,0.403,1,0,0
267,1108,0.4579,1,1,0
268,1108,0.3904,1,0,0
269,1108,0.3334,1,1,0
270,1108,0.5904,1,0,0
271,1108,0.3948,1,1,0
272,1108,0.3593,1,0,0
273,1108,0.4231,1,1,0
274,1108,0.3425,1,1,0
275,1108,0.4401,1,1,0
276,1108,0.4649,1,0,0
277,1108,0.459,1,1,0
278,1108,0.4533,1,1,0
279,1108,0.3628,1,1,0
280,1108,0.4556,1,1,0
281,1108,0.4178,1,0,0
282,1108,0.4107,1,0,0
283,1108,0.4431,1,0,0
284,1108,0.3978,1,1,0
285,1108,0.3906,1,0,0
286,1108,0.4818,1,1,0
287,1108,0.3245,0,1,0
288,1108,0.3767,1,0,0
289,1108,0.3585,0,1,0
290,1108,0.4103,1,0,0
291,1108,0.4039,1,1,0
292,1108,0.5069,1,1,0
293,1108,0.4251,1,0,0
294,1108,0.3574,1,0,0
295,1108,0.326,0,1,0
296,1108,0.3838,1,0,0
297,1108,0.3425,1,1,0
298,1108,0.3672,1,1,0
299,1108,0.4506,1,0,0
300,1108,0.46,1,0,0
301,1108,0.3878,1,0,0
302,1108,0.3317,1,1,0
303,1108,0.4339,1,1,0
304,1108,0.361,1,1,0
305,1108,0.4821,1,0,0
306,1108,0.5162,1,0,0
307,1108,0.4516,1,1,0
308,1108,0.5326,1,1,0
309,1108,0.4054,1,0,0
310,1108,0.4045,1,0,0
311,1108,0.3938,1,1,0
312,1108,0.4082,1,0,0
313,1108,0.4443,1,0,0
314,1108,0.4744,1,1,0
315,1108,0.4201,1,1,0
316,1108,0.3427,1,1,0
317,1108,0.524,1,0,0
318,1108,0.4011,1,1,0
319,1108,0.3669,1,0,0
320,1108,0.4738,1,1,0
321,1108,0.4341,1,1,0
322,1108,0.4367,1,1,0
323,1108,0.3593,1,1,0
324,1108,0.3952,1,0,0
325,1108,0.3371,1,0,0
326,1108,0.5179,1,1,0
327,1108,0.4182,1,0,0
328,1108,0.4099,1,1,0
329,1108,0.4333,1,0,0
330,1108,0.4243,1,1,0
331,1108,0.4428,1,0,0
332,1108,0.4032,1,0,0
333,1108,0.3227,1,1,0
