participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1108,0.3781,1,0,1,54
1108,0.4535,1,0,1,56
1108,0.3617,1,0,1,57
1108,0.4263,1,1,1,58
1108,0.3575,1,1,1,60
1108,0.4149,1,0,1,61
1108,0.4579,1,0,1,62
1108,0.3777,1,0,1,63
1108,0.4909,1,0,1,65
1108,0.502,1,1,1,66
1108,0.4939,1,1,1,67
1108,0.4754,1,0,1,68
1108,0.3574,1,0,1,69
1108,0.4587,1,1,1,70
1108,0.4252,1,1,1,71
1108,0.4909,1,1,1,72
1108,0.3939,1,0,1,73
1108,0.3754,1,0,1,74
1108,0.4161,1,1,1,75
1108,0.3676,1,0,1,81
1108,0.3542,1,0,1,82
1108,0.3418,1,0,1,83
1108,0.3449,0,1,1,85
1108,0.3323,1,0,1,87
1108,0.3001,0,1,1,88
1108,0.5246,1,1,1,89
1108,0.4095,1,0,1,90
1108,0.3094,1,0,1,92
1108,0.3862,1,0,1,93
1108,0.3697,1,0,1,94
1108,0.3755,1,0,1,95
1108,0.4873,1,1,1,96
1108,0.3797,1,0,1,98
1108,0.4026,1,1,1,100
1108,0.3466,0,1,1,102
1108,0.4486,1,0,1,104
1108,0.4398,1,1,1,105
1108,0.3085,1,1,1,106
1108,0.3017,1,0,1,107
1108,0.4242,1,0,1,108
1108,0.3402,1,0,1,110
1108,0.3921,1,0,1,111
1108,0.4285,1,0,1,112
1108,0.3451,1,0,1,113
1108,0.5231,1,1,1,114
1108,0.3862,1,1,1,115
1108,0.474,1,0,1,116
1108,0.4271,1,1,1,119
1108,0.4374,1,0,1,122
1108,0.5131,1,0,1,123
1108,0.4913,1,1,1,125
1108,0.417,1,0,1,127
1108,0.3861,1,1,1,3
1108,0.4041,1,0,1,4
1108,0.6018,1,1,1,5
1108,0.3381,1,1,1,6
1108,0.5916,1,0,1,9
1108,0.2906,1,0,1,11
1108,0.464,1,1,1,12
1108,0.5386,1,1,1,14
1108,0.4623,1,0,1,15
1108,0.4325,1,1,1,17
1108,0.3577,1,0,1,18
1108,0.3628,1,0,1,19
1108,0.4075,1,0,1,22
1108,0.394,1,0,1,24
1108,0.3999,1,0,1,26
1108,0.4085,1,1,1,27
1108,0.3594,0,1,1,29
1108,0.5442,1,0,1,32
1108,0.3728,1,1,1,33
1108,0.4166,1,0,1,34
1108,0.2747,1,1,1,35
1108,0.4791,1,1,1,36
1108,0.3533,1,0,1,37
1108,0.4759,1,1,1,38
1108,0.4118,1,1,1,39
1108,0.3323,1,0,1,40
1108,0.3264,1,0,1,42
1108,0.5823,1,0,1,43
1108,0.4336,1,0,1,48
1108,0.4864,1,0,1,49
1108,0.449,1,1,1,50
1108,0.3696,1,0,1,51
1108,0.4406,1,1,1,52
1108,0.4577,1,1,1,53
1108,0.4561,1,1,1,54
1108,0.4147,0,0,1,55
1108,0.4652,1,0,1,58
1108,0.4666,1,1,1,59
1108,0.3838,1,0,1,61
1108,0.3929,1,0,1,62
1108,0.405,1,0,1,63
1108,0.4248,1,0,1,66
1108,0.5846,1,1,1,67
1108,0.3986,1,1,1,69
1108,0.4159,1,0,1,70
1108,0.3951,1,1,1,71
1108,0.4039,1,0,1,74
1108,0.3784,0,1,1,75
1108,0.3764,1,0,1,76
1108,0.3904,1,0,1,77
1108,0.3593,1,1,1,79
1108,0.3326,0,0,1,81
1108,0.3248,1,0,1,82
1108,0.4539,1,1,1,83
1108,0.3503,1,0,1,84
1108,0.3646,1,0,1,85
1108,0.4034,1,0,1,87
1108,0.3582,1,0,1,89
1108,0.4356,1,1,1,90
1108,0.3946,1,0,1,94
1108,0.4502,1,1,1,95
1108,0.4404,1,0,1,97
1108,0.518,1,1,1,98
1108,0.3788,1,1,1,99
1108,0.3938,1,0,1,100
1108,0.4747,1,0,1,102
1108,0.3764,0,1,1,104
1108,0.612,1,1,1,105
1108,0.4754,1,1,1,106
1108,0.3418,1,1,1,107
1108,0.3916,1,1,1,108
1108,0.3766,1,1,1,110
1108,0.3592,0,0,1,112
1108,0.5332,1,1,1,114
1108,0.4449,1,1,1,115
1108,0.57,1,1,1,116
1108,0.4029,1,1,1,118
1108,0.3727,1,0,1,120
1108,0.3539,1,0,1,121
1108,0.3419,1,1,1,122
1108,0.4464,1,1,1,124
1108,0.3915,1,0,1,125
1108,0.5187,1,1,1,126
1108,0.4961,1,1,1,127
1108,0.5041,1,1,1,2
1108,0.6097,1,1,1,5
1108,0.358,1,0,1,8
1108,0.4687,1,0,1,10
1108,0.426,1,1,1,11
1108,0.4936,1,0,1,12
1108,0.3683,1,1,1,13
1108,0.4409,1,1,1,15
1108,0.33,1,0,1,16
1108,0.4748,0,1,1,17
1108,0.4988,1,1,1,19
1108,0.3613,1,0,1,20
1108,0.4204,1,0,1,21
1108,0.347,1,0,1,23
1108,0.4061,0,0,1,24
1108,0.3423,1,0,1,25
1108,0.3934,1,1,1,26
1108,0.4671,1,1,1,27
1108,0.3281,1,0,1,29
1108,0.4279,1,1,1,32
1108,0.3674,1,0,1,34
1108,0.3259,1,1,1,35
1108,0.3184,0,0,1,36
1108,0.38,1,0,1,38
1108,0.3596,0,1,1,40
1108,0.407,0,1,1,41
1108,0.4088,1,0,1,43
1108,0.3368,1,0,1,44
1108,0.3315,0,1,1,45
1108,0.3937,1,0,1,46
1108,0.5664,1,1,1,47
1108,0.4047,1,1,1,49
1108,0.3746,1,1,1,50
1108,0.374,1,0,1,51
1108,0.3586,1,0,1,52
1108,0.4098,1,1,1,53
1108,0.4398,1,1,1,57
1108,0.6203,1,1,1,58
