,participant,rt,accuracy,congruency_num,spacing_num
620,3625,0.392,0,0,1
621,985,0.441,1,1,1
622,7624,0.337,1,1,1
623,4222,0.5016,1,1,1
624,6055,0.381,1,0,1
625,5332,0.518,1,0,1
626,7756,0.4344,1,0,1
627,7813,0.373,1,0,1
628,4222,0.3894,1,0,1
629,4264,0.656,1,0,1
630,8785,0.61,1,0,1
631,8308,0.677,1,1,1
632,8521,0.3894,1,0,1
633,810,0.5675,1,0,1
634,808,0.4899,1,1,1
635,8788,0.4865,1,1,1
636,5731,0.644,1,0,1
637,337788,0.705,1,1,1
638,6055,0.437,1,1,1
639,8308,0.648,1,1,1
640,7807,0.6219,1,1,1
641,8311,0.31,0,0,1
642,1538,0.4639,1,0,1
644,7624,0.406,1,0,1
645,7828,0.4725,1,1,1
646,845,0.399,1,0,1
648,8446,0.5066,1,1,1
649,1430,0.552,1,1,1
650,5761,0.3869,1,0,1
651,6253,0.593,1,1,1
652,337788,0.625,1,1,1
653,1761,0.451,1,1,1
654,6253,0.37,1,0,1
655,3487,0.506,1,0,1
656,1768,0.527,1,0,1
657,845,0.355,1,0,1
658,7768,0.3996,1,0,1
659,6253,0.548,1,1,1
660,1597,0.62,1,1,1
661,5815,0.4548,1,1,1
662,8026,0.785,1,0,1
663,1538,0.3907,1,1,1
664,5332,0.651,1,0,1
665,6109,0.3349,1,0,1
666,6634,0.4359,1,0,1
667,6427,0.348,1,0,1
668,5803,0.479,1,1,1
669,6361,0.632,1,1,1
670,7624,0.671,1,1,1
671,1614,0.442,1,0,1
672,7807,0.365,1,0,1
673,3910,0.3192,1,0,1
674,6262,0.4217,1,1,1
675,7813,0.41,1,1,1
676,6583,0.3693,1,0,1
677,3910,0.4905,1,0,1
678,1821,0.3863,1,1,1
679,916,0.4625,0,1,1
680,8521,0.4053,1,0,1
681,1507,0.4334,1,1,1
682,1583,0.4405,1,0,1
684,808,0.4656,1,1,1
685,1614,0.392,1,0,1
686,5281,0.488,1,1,1
687,1108,0.4825,1,1,1
688,1821,0.342900001,1,1,1
689,6214,0.3857,1,0,1
690,3988,0.3343,0,1,1
691,1657,0.5676,1,0,1
692,7939,0.364,1,1,1
693,5803,0.322,0,1,1
694,1538,0.4504,1,1,1
695,7624,0.424,1,0,1
696,808,0.3705,1,0,1
697,1657,0.3829,1,1,1
698,8785,0.6204,1,1,1
699,3910,0.4084,1,1,1
700,4264,0.6549,1,1,1
701,5803,0.434,0,1,1
702,7840,0.554,1,1,1
703,7840,0.39,1,0,1
704,5332,0.551,1,0,1
705,985,0.438,1,1,1
706,8788,0.4345,1,0,1
707,8446,0.3879,1,1,1
708,6427,0.397,1,0,1
709,3487,0.4358,1,1,1
710,3487,0.4079,1,0,1
711,3910,0.4735,1,0,1
712,7813,0.408,1,1,1
713,4222,0.424,1,0,1
714,1824,0.3944,1,0,1
715,3286,0.343,1,1,1
716,1583,0.4687,1,1,1
717,985,0.467,1,1,1
719,6262,0.3836,1,1,1
720,7840,0.607,1,0,1
721,7840,0.467,1,0,1
722,6055,0.454,1,1,1
723,1583,0.5529000000000001,1,1,1
724,6253,0.388,1,1,1
